"region_id","common","class","sciname","category","status","year"
1,"white speckled rockcod","actinopterygii","epinephelus hexagonatus","LC",1,2020
1,"honeycomb grouper","actinopterygii","epinephelus merra","LC",1,2020
1,"golden hind","actinopterygii","cephalopholis aurantia","LC",1,2020
1,"masked grouper","actinopterygii","gracila albomarginata","LC",1,2020
1,"darkfin hind","actinopterygii","cephalopholis urodeta","LC",1,2020
1,"comet grouper","actinopterygii","epinephelus morrhua","LC",1,2020
1,"one-blotch grouper","actinopterygii","epinephelus melanostigma","LC",1,2020
1,"giant grouper","actinopterygii","epinephelus lanceolatus","DD",NA,2020
1,"golden grouper","actinopterygii","saloptia powelli","LC",1,2020
1,"blacktip grouper","actinopterygii","epinephelus fasciatus","LC",1,2020
1,"surge grouper","actinopterygii","epinephelus socialis","LC",1,2020
1,"yellow-edged lyretail","actinopterygii","variola louti","LC",1,2020
1,"six-blotch hind","actinopterygii","cephalopholis sexmaculata","LC",1,2020
1,"reticulate grouper","actinopterygii","epinephelus tuamotuensis","LC",1,2020
1,"bullseye reef lobster","malacostraca","enoplometopus holthuisi","DD",NA,2020
1,"longlegged spiny lobster","malacostraca","panulirus longipes","LC",1,2020
1,NA,"malacostraca","enoplometopus gracilipes","DD",NA,2020
1,"royal spanish lobster","malacostraca","arctides regalis","LC",1,2020
1,NA,"malacostraca","pentacheles snyderi","LC",1,2020
1,"sculptured mitten lobster","malacostraca","parribacus antarcticus","LC",1,2020
1,"white-whiskered coral crayfish","malacostraca","panulirus femoristriga","LC",1,2020
1,NA,"malacostraca","stereomastis auriculata","LC",1,2020
1,NA,"malacostraca","galearctus aurora","LC",1,2020
1,NA,"malacostraca","stereomastis suhmi","LC",1,2020
1,"melon-headed whale","mammalia","peponocephala electra","LC",1,2020
1,"rough-toothed dolphin","mammalia","steno bredanensis","LC",1,2020
1,"pygmy sperm whale","mammalia","kogia breviceps","DD",NA,2020
1,"striped dolphin","mammalia","stenella coeruleoalba","LC",1,2020
1,"antarctic minke whale","mammalia","balaenoptera bonaerensis","NT",0.8,2020
1,"ginkgo-toothed beaked whale","mammalia","mesoplodon ginkgodens","DD",NA,2020
1,"cuvier's beaked whale","mammalia","ziphius cavirostris","LC",1,2020
1,"killer whale","mammalia","orcinus orca","DD",NA,2020
1,"sperm whale","mammalia","physeter macrocephalus","VU",0.6,2020
1,"common bottlenose dolphin","mammalia","tursiops truncatus","LC",1,2020
1,"bryde's whale","mammalia","balaenoptera edeni","LC",1,2020
1,"dwarf sperm whale","mammalia","kogia sima","DD",NA,2020
1,"blainville's beaked whale","mammalia","mesoplodon densirostris","DD",NA,2020
1,"spinner dolphin","mammalia","stenella longirostris","LC",1,2020
1,"short-finned pilot whale","mammalia","globicephala macrorhynchus","LC",1,2020
1,"sei whale","mammalia","balaenoptera borealis","EN",0.4,2020
1,"risso's dolphin","mammalia","grampus griseus","LC",1,2020
1,"blue whale","mammalia","balaenoptera musculus","EN",0.4,2020
1,"fraser's dolphin","mammalia","lagenodelphis hosei","LC",1,2020
1,"common minke whale","mammalia","balaenoptera acutorostrata","LC",1,2020
1,"false killer whale","mammalia","pseudorca crassidens","NT",0.8,2020
1,"pygmy killer whale","mammalia","feresa attenuata","LC",1,2020
1,"pantropical spotted dolphin","mammalia","stenella attenuata","LC",1,2020
1,"blunthead puffer","actinopterygii","sphoeroides pachygaster","LC",1,2020
1,"brown-lined puffer","actinopterygii","canthigaster rivulata","LC",1,2020
1,"honeycomb toby","actinopterygii","canthigaster janthinoptera","LC",1,2020
1,"spider-eye puffer","actinopterygii","canthigaster amboinensis","LC",1,2020
1,"spotted sharpnose","actinopterygii","canthigaster solandri","LC",1,2020
1,"oceanic puffer","actinopterygii","lagocephalus lagocephalus","LC",1,2020
1,"silver-cheeked toadfish","actinopterygii","lagocephalus sceleratus","LC",1,2020
1,"valentini's sharpnose puffer","actinopterygii","canthigaster valentini","LC",1,2020
